fold,n_train,alpha,converged,n,brier,log_loss,accuracy,auc,mean_probability,base_rate,skill_vs_coin_flip,skill_vs_always_up,skill_vs_momentum
fold 0,681,10000.0,True,365.0,0.3500363456454336,0.9044165776473961,0.3150684931506849,0.5158608695652174,0.6817646948522227,0.3150684931506849,-0.4001453825817345,-0.09581065410163969,-0.11071860409051704
fold 1,1005,1.0,True,365.0,0.5342487518952541,8.373425450467288,0.4657534246575342,0.421236802413273,0.0004885277858771918,0.5342465753424658,-1.1369950075810165,-1.127041229852693,-1.0626421967929525
fold 2,1370,10000.0,True,365.0,0.2178938113045788,0.6281217775479986,0.7123287671232876,0.6090476190476191,0.5942227324290317,0.7123287671232876,0.1284247547816848,0.08298891170544276,0.09792776069358133
fold 3,1735,10000.0,True,365.0,0.2020927045820775,0.5961815472006856,0.7945205479452054,0.4557241379310345,0.5985422754341959,0.7945205479452054,0.19162918167168996,0.06316023377508184,0.04886002205753548
fold 4,1991,10000.0,True,365.0,0.3283693734621892,0.8570614919008144,0.3424657534246575,0.5100666666666667,0.6615507806942794,0.3424657534246575,-0.3134774938487568,-0.10278856667040515,-0.0764607297293356
fold 5,2356,1000.0,True,365.0,0.25875295524562086,0.7111419773443063,0.4767123287671233,0.32767248389316317,0.5649462445409099,0.6,-0.035011820982483455,-0.07777340679550782,-0.10407837383572072
fold 6,2721,10000.0,True,365.0,0.265684400101802,0.8462010289796141,0.6520547945205479,0.48584000529345595,0.7918027318258583,0.6520547945205479,-0.062737600407208,-0.15195815369297527,-0.09210440809163845
fold 7,3086,10000.0,True,365.0,0.23757006300354952,0.6679359148378318,0.6027397260273972,0.5793416927899686,0.6194024528835462,0.6027397260273972,0.04971974798580192,0.009255218157729339,-0.017298044171613958
fold 8,3285,10000.0,True,365.0,0.287767434429219,0.7697209169760618,0.3095890410958904,0.40542574541284404,0.565043258072696,0.29863013698630136,-0.15106973771687593,0.027915267827063994,0.007957072620355832
fold 9,3650,10000.0,True,365.0,0.24401229688110293,0.6811441766530881,0.6027397260273972,0.4906023776316663,0.5258238897306328,0.6547945205479452,0.02395081247558828,-0.047261243484172155,-0.04698124443759388
fold 10,4015,1000.0,True,365.0,0.3212622645158086,0.8562979697730113,0.3561643835616438,0.4470954356846473,0.42766803103456635,0.6602739726027397,-0.28504905806323433,-0.3760706777146663,-0.32983692971065537
fold 11,4277,10000.0,True,365.0,0.2475231317214119,0.6879781446210108,0.4767123287671233,0.7367154119275441,0.5558813327832559,0.4767123287671233,0.009907473114352361,0.04228468054971868,0.04794887932957792
fold 12,4642,10000.0,True,264.0,0.2552399720828769,0.7038183552628192,0.5113636363636364,0.43049095607235144,0.5710052176770839,0.5113636363636364,-0.020959888331507637,-0.0038140982173779925,-0.0005920848875524687
