hypothesis,target,n_in,n_out,mean_in,mean_out,difference,p_value,p_adjusted,significant_raw,significant_adjusted
event_credit_event_30d,log_return,176,5323,-0.0048921223906909376,0.0018328604843483782,-0.006724982875039316,0.0865,0.7482222222222222,False,False
event_credit_event_7d,log_return,52,5447,-0.008669198037826842,0.0017158254296662028,-0.010385023467493044,0.092,0.7482222222222222,False,False
halving_after_365d,log_return,1464,4035,0.005408567014337229,0.00024217117928998968,0.0051663958350472395,0.1165,0.7482222222222222,False,False
event_protocol_upgrade_30d,log_return,155,5344,-0.0028146709740318092,0.0017461782968562394,-0.004560849270888049,0.194,0.7482222222222222,False,False
phase_expanding_rising,log_return,821,4678,-0.0005652469723126792,0.0020007205176771105,-0.00256596748998979,0.207,0.7482222222222222,False,False
event_market_structure_7d,log_return,24,5475,-0.007864051827813467,0.0016591853993228008,-0.009523237227136268,0.2095,0.7482222222222222,False,False
event_market_structure_30d,log_return,70,5429,-0.0037819354592754095,0.0016872422728999982,-0.0054691777321754075,0.2495,0.7482222222222222,False,False
event_credit_event_90d,log_return,419,5080,-0.0009013451258521599,0.0018253870915663122,-0.002726732217418472,0.2545,0.7482222222222222,False,False
event_macro_7d,log_return,27,5472,-0.006550031961327279,0.0016579228217069898,-0.00820795478303427,0.259,0.7482222222222222,False,False
event_regulation_7d,log_return,24,5475,-0.005264289149305397,0.0016477891793622176,-0.006912078328667614,0.343,0.7762857142857144,False,False
phase_expanding_falling,log_return,528,4971,0.0033799628333269147,0.0014304329996838064,0.0019495298336431083,0.3845,0.7762857142857144,False,False
halving_after_180d,log_return,724,4775,0.004624459738987134,0.0011617160139053668,0.003462743725081767,0.408,0.7762857142857144,False,False
phase_contracting_falling,log_return,1488,4011,0.0024836479618722067,0.00129634371731712,0.0011873042445550868,0.4165,0.7762857142857144,False,False
event_market_structure_90d,log_return,190,5309,-0.0008801583535994695,0.001707013167189435,-0.0025871715207889047,0.418,0.7762857142857144,False,False
event_regulation_90d,log_return,273,5226,0.004303317173586051,0.0014773243836654843,0.0028259927899205667,0.4605,0.7982,False,False
event_protocol_upgrade_90d,log_return,455,5044,0.00015193017869209713,0.0017498363572799184,-0.0015979061785878212,0.499,0.810875,False,False
event_halving_7d,log_return,32,5467,0.0060234470996546885,0.001591833274233741,0.004431613825420948,0.534,0.8167058823529412,False,False
event_protocol_upgrade_7d,log_return,40,5459,0.004329962819576894,0.0015977476286209444,0.0027322151909559495,0.625,0.8207727272727272,False,False
halving_after_90d,log_return,364,5135,0.003315361289327313,0.0014972758146270047,0.0018180854747003085,0.635,0.8207727272727272,False,False
event_halving_90d,log_return,364,5135,0.003315361289327313,0.0014972758146270047,0.0018180854747003085,0.644,0.8207727272727272,False,False
event_macro_90d,log_return,276,5223,0.0006119364857819949,0.0016707655269670653,-0.0010588290411850704,0.685,0.8207727272727272,False,False
event_macro_30d,log_return,96,5403,0.00014404962292019485,0.0016438041927863173,-0.0014997545698661225,0.6945,0.8207727272727272,False,False
event_regulation_30d,log_return,93,5406,0.0011420393093034373,0.0016258033965334058,-0.0004837640872299685,0.91,0.998,False,False
event_halving_30d,log_return,124,5375,0.0017137353430693144,0.0016154045832342727,9.833075983504166e-05,0.9785,0.998,False,False
halving_after_30d,log_return,124,5375,0.0017137353430693144,0.0016154045832342727,9.833075983504166e-05,0.983,0.998,False,False
phase_contracting_rising,log_return,2299,3200,0.0016103203719624842,0.0016228675882134563,-1.2547216250972113e-05,0.998,0.998,False,False
