hypothesis,split,train_effect,test_effect,same_sign,significant_in_train,significant_out_of_sample,effect_retained,replicated,train_p_value,test_p_value
halving_after_30d,"cycles [0, 1, 2] -> [3, 4]",-0.0026615634288902883,0.0029616558835660004,False,False,False,1.1127504426226777,False,0.69,0.4875
halving_after_90d,"cycles [0, 1, 2] -> [3, 4]",0.002750968382689111,0.0009636928573454079,True,False,False,0.3503104082946182,False,0.5915,0.757
halving_after_180d,"cycles [0, 1, 2] -> [3, 4]",0.006155436906017036,0.0007816068303570515,True,False,False,0.1269782863980002,False,0.1115,0.7345
halving_after_365d,"cycles [0, 1, 2] -> [3, 4]",0.007423103085713358,0.00291897907095084,True,True,False,0.3932289552288128,False,0.0095,0.2725
event_credit_event_7d,"cycles [0, 1, 2] -> [3, 4]",-0.007054579428734604,-0.012205457613863649,True,False,True,1.7301467418665053,True,0.416,0.03
event_credit_event_30d,"cycles [0, 1, 2] -> [3, 4]",-0.012157486372849045,-0.0040247101991881095,True,False,False,0.33104788899261084,False,0.1005,0.2045
event_credit_event_90d,"cycles [0, 1, 2] -> [3, 4]",-0.004954523880381604,-0.0014368981048860866,True,False,False,0.29001739411848687,False,0.397,0.61
event_halving_7d,"cycles [0, 1, 2] -> [3, 4]",0.003361744167499351,0.005587629084147255,True,False,False,1.6621220431249053,False,0.728,0.454
event_halving_30d,"cycles [0, 1, 2] -> [3, 4]",-0.0026615634288902883,0.0029616558835660004,False,False,False,1.1127504426226777,False,0.69,0.4875
event_halving_90d,"cycles [0, 1, 2] -> [3, 4]",0.002750968382689111,0.0009636928573454079,True,False,False,0.3503104082946182,False,0.5915,0.757
event_market_structure_7d,"cycles [0, 1, 2] -> [3, 4]",-0.00644960369138744,-0.01616620976236812,True,False,False,2.5065431204642654,False,0.4975,0.1175
event_market_structure_30d,"cycles [0, 1, 2] -> [3, 4]",-0.009703338939163865,-0.00020947918367164456,True,False,False,0.02158836097399019,False,0.2115,0.963
event_market_structure_90d,"cycles [0, 1, 2] -> [3, 4]",-0.008341886185695578,0.003748416144657169,False,False,False,0.44934875173493055,False,0.151,0.3095
event_protocol_upgrade_7d,"cycles [0, 1, 2] -> [3, 4]",0.006207354610324361,-0.012712041917057403,False,False,False,2.047900066143175,False,0.4075,0.196
event_protocol_upgrade_30d,"cycles [0, 1, 2] -> [3, 4]",-0.0035471380746994793,-0.010336264178011745,True,False,False,2.913972887533411,False,0.426,0.0895
event_protocol_upgrade_90d,"cycles [0, 1, 2] -> [3, 4]",-0.000960866124827497,-0.005822652412375191,True,False,False,6.059795700905289,False,0.791,0.1085
event_regulation_7d,"cycles [0, 1, 2] -> [3, 4]",-0.010849374954484823,-0.004572424303831696,True,False,False,0.4214458734271679,False,0.372,0.471
event_regulation_30d,"cycles [0, 1, 2] -> [3, 4]",-0.004466497233043241,0.0019204704069733947,False,False,False,0.42997237136199573,False,0.5455,0.6005
event_regulation_90d,"cycles [0, 1, 2] -> [3, 4]",0.008001975472515483,0.0005606526563827547,True,False,False,0.07006428079021707,False,0.163,0.7845
phase_contracting_falling,"cycles [0, 1, 2] -> [3, 4]",0.001957709468314193,-2.8169821383796896e-05,False,False,False,0.014389173592777412,False,0.3735,0.9825
phase_contracting_rising,"cycles [0, 1, 2] -> [3, 4]",-0.00019530562042452708,-0.00020114044131417915,True,False,False,1.0298753352666923,False,0.9395,0.906
phase_expanding_falling,"cycles [0, 1, 2] -> [3, 4]",-0.0002536106504913817,0.0040773716201965605,False,False,False,16.077288600839417,False,0.9575,0.0635
phase_expanding_rising,"cycles [0, 1, 2] -> [3, 4]",-0.0013407875157298813,-0.0031556214875612474,True,False,False,2.353558226445321,False,0.7135,0.07
