recorded,as_of,parameter,adopted,sharpe,rank,of,best,best_sharpe,days,source
2026-09-07,2026-09-07,band,0.3,1.064006,61,61,0.43,1.180416,4039,run
2026-09-07,2026-09-07,target,0.6,1.064006,36,39,0.3,1.20609,4039,run
2026-09-10,2026-09-09,band,0.3,1.064007,61,61,0.43,1.18035,4041,run
2026-09-10,2026-09-09,target,0.6,1.064007,36,39,0.3,1.206106,4041,run
2026-09-11,2026-09-11,band,0.3,1.059987,61,61,0.43,1.176843,4043,run
2026-09-11,2026-09-11,target,0.6,1.059987,36,39,0.3,1.201223,4043,run
2026-09-12,2026-09-12,band,0.3,1.059961,61,61,0.43,1.176787,4044,run
2026-09-12,2026-09-12,target,0.6,1.059961,36,39,0.3,1.201201,4044,run
2026-09-14,2026-09-14,band,0.3,1.061329,61,61,0.43,1.177893,4046,run
2026-09-14,2026-09-14,target,0.6,1.061329,36,39,0.3,1.202863,4046,run
2026-09-16,2026-09-16,band,0.3,1.056349,61,61,0.43,1.173567,4048,run
2026-09-16,2026-09-16,target,0.6,1.056349,36,39,0.3,1.19678,4048,run
2026-09-17,2026-09-17,band,0.3,1.057037,61,61,0.43,1.174124,4049,run
2026-09-17,2026-09-17,target,0.6,1.057037,36,39,0.3,1.197622,4049,run
2026-09-21,2026-09-21,band,0.3,1.073883,61,61,0.43,1.188459,4053,run
2026-09-21,2026-09-21,target,0.6,1.073883,36,39,0.3,1.2177,4053,run
2026-09-22,2026-09-22,band,0.3,1.072803,61,61,0.43,1.18751,4054,run
2026-09-22,2026-09-22,target,0.6,1.072803,36,39,0.3,1.216303,4054,run
2026-09-23,2026-09-23,band,0.3,1.073128,61,61,0.43,1.187754,4055,run
2026-09-23,2026-09-23,target,0.6,1.073128,36,39,0.3,1.216717,4055,run
2026-09-24,2026-09-24,band,0.3,1.069197,61,61,0.43,1.184356,4056,run
2026-09-24,2026-09-24,target,0.6,1.069197,36,39,0.3,1.211932,4056,run
