price_series,horizon,estimation_window,abnormal,return_type,label,n_events,car,ci_low,ci_high,p_value,significant
coinbase,180,"(-90, -11)",True,simple,coinbase/180d/simple/abn/-90..-11,3,-0.42604179561735006,-2.4562077993323714,1.6041242080976714,0.4618601872875178,False
binance,180,"(-90, -11)",True,simple,binance/180d/simple/abn/-90..-11,2,-0.32811765042417906,-10.435655558265521,9.779420257417163,0.7509440393620155,False
coinbase,365,"(-90, -11)",True,simple,coinbase/365d/simple/abn/-90..-11,3,-0.3040911967920505,-5.271325106523632,4.66314271293953,0.8168929243636264,False
coinbase,90,"(-90, -11)",True,simple,coinbase/90d/simple/abn/-90..-11,3,-0.29761774536613644,-1.5083065894779688,0.913071098745696,0.4010732487686841,False
coinbase,180,"(-90, -11)",True,log,coinbase/180d/log/abn/-90..-11,3,-0.2778990346258529,-2.748878898090626,2.19308082883892,0.6762593572757839,False
coinbase,90,"(-90, -11)",True,log,coinbase/90d/log/abn/-90..-11,3,-0.22032174807333837,-1.648704426162317,1.2080609300156402,0.5751711608055179,False
coinbase,180,"(-120, -31)",True,simple,coinbase/180d/simple/abn/-120..-31,3,-0.1890852213371849,-1.92419755723739,1.54602711456302,0.6852946199317937,False
coinbase,90,"(-120, -31)",True,simple,coinbase/90d/simple/abn/-120..-31,3,-0.1784848820540096,-1.2035345716841643,0.846564807576145,0.5318730756615073,False
binance,180,"(-120, -31)",True,simple,binance/180d/simple/abn/-120..-31,2,-0.15660253810504193,-8.99076199907569,8.677556922865605,0.8589602078886759,False
binance,90,"(-90, -11)",True,simple,binance/90d/simple/abn/-90..-11,2,-0.1449165062771715,-5.317262620650157,5.027429608095814,0.7822714657357486,False
binance,180,"(-90, -11)",True,log,binance/180d/log/abn/-90..-11,2,-0.1286692978467402,-12.336820288386695,12.079481692693216,0.9152490200554492,False
coinbase,90,"(-120, -31)",True,log,coinbase/90d/log/abn/-120..-31,3,-0.12251344391136686,-1.350306169694621,1.1052792818718873,0.7095067018225306,False
binance,365,"(-90, -11)",True,simple,binance/365d/simple/abn/-90..-11,2,-0.11910192424278765,-25.109226582039938,24.871022733554362,0.9614950742483162,False
coinbase,30,"(-90, -11)",True,simple,coinbase/30d/simple/abn/-90..-11,3,-0.08621025280013579,-0.601143137700598,0.4287226321003264,0.5461226022967949,False
coinbase,180,"(-120, -31)",True,log,coinbase/180d/log/abn/-120..-31,3,-0.08335724283116212,-2.1876952743920324,2.020980788729708,0.8803485721294559,False
coinbase,90,"(-250, -31)",True,simple,coinbase/90d/simple/abn/-250..-31,3,-0.08189138989722577,-1.128882450904896,0.9650996711104445,0.7684976215982806,False
coinbase,365,"(-90, -11)",True,log,coinbase/365d/log/abn/-90..-11,3,-0.0716245967169938,-5.816129185319688,5.6728799918857,0.9620930663203607,False
coinbase,30,"(-90, -11)",True,log,coinbase/30d/log/abn/-90..-11,3,-0.06552481624447758,-0.645914740860834,0.5148651083718788,0.6751447381688489,False
binance,90,"(-120, -31)",True,simple,binance/90d/simple/abn/-120..-31,2,-0.0586851514647882,-4.590824422383457,4.473454119453881,0.8961880260601135,False
bitstamp,30,"(-90, -11)",True,simple,bitstamp/30d/simple/abn/-90..-11,4,-0.04924114157048461,-0.33588442092529175,0.23740213778432254,0.6226251492906951,False
stitched,30,"(-90, -11)",True,simple,stitched/30d/simple/abn/-90..-11,4,-0.04903570066772396,-0.33553613844294355,0.23746473710749566,0.6238475944940908,False
coinbase,90,"(-250, -31)",True,log,coinbase/90d/log/abn/-250..-31,3,-0.04824492644734801,-1.1680336030670184,1.0715437501723226,0.8700316692661234,False
coinbase,30,"(-120, -31)",True,simple,coinbase/30d/simple/abn/-120..-31,3,-0.045626530133367316,-0.49594479699014443,0.4046917367234098,0.7054173682630716,False
binance,90,"(-90, -11)",True,log,binance/90d/log/abn/-90..-11,2,-0.04388529249324857,-6.243351303280275,6.155580718293778,0.9428924419326697,False
