hypothesis,n_folds,n_same_sign,sign_agreement,sign_p_value,mean_test_effect,test_effect_t_stat,test_effect_p_value,sign_p_adjusted,sign_significant_raw,sign_significant_adjusted,test_effect_p_adjusted,test_effect_significant_adjusted
phase_expanding_rising,5,5,1.0,0.0625,-0.002756781540536706,-3.9615910821676366,0.016655443365570757,1.0,False,False,0.2997979805802736,False
halving_after_30d,3,0,0.0,0.25,-0.0007662993613874186,-0.27851818261238004,0.8067695917837917,1.0,False,False,0.9323806776524557,False
event_halving_30d,3,0,0.0,0.25,-0.0007662993613874186,-0.27851818261238004,0.8067695917837917,1.0,False,False,0.9323806776524557,False
event_macro_7d,2,0,0.0,0.5,0.009198803043076452,1.5956085471053199,0.35640222657292836,1.0,False,False,0.9323806776524557,False
event_regulation_90d,2,0,0.0,0.5,-0.001291194739781065,-1.351721234923447,0.4054882626202121,1.0,False,False,0.9323806776524557,False
event_macro_30d,2,0,0.0,0.5,0.003484874475063824,2.116821716171595,0.2809594147907002,1.0,False,False,0.9323806776524557,False
phase_contracting_rising,11,4,0.36363636363636365,0.548828125,0.0005371194169830917,0.4847990134491482,0.6382628323301365,1.0,False,False,0.9323806776524557,False
phase_contracting_falling,10,6,0.6,0.75390625,0.000603645542788736,0.46745670757339614,0.6512845778920692,1.0,False,False,0.9323806776524557,False
event_halving_7d,3,1,0.3333333333333333,1.0,0.0023128448861511374,0.46314176918044775,0.6887738511642832,1.0,False,False,0.9323806776524557,False
event_credit_event_90d,2,1,0.5,1.0,-6.248637193125755e-05,-0.030179313056521776,0.9807930823383396,1.0,False,False,0.9807930823383396,False
event_credit_event_30d,2,1,0.5,1.0,-0.0018256297817469814,-0.275625144934749,0.8287828245799607,1.0,False,False,0.9323806776524557,False
event_halving_90d,3,1,0.3333333333333333,1.0,-0.001447608399908286,-0.8171925047008882,0.49968047874983096,1.0,False,False,0.9323806776524557,False
event_credit_event_7d,2,1,0.5,1.0,-0.0016051070450314366,-0.05800190888762428,0.9631161627242418,1.0,False,False,0.9807930823383396,False
halving_after_90d,3,1,0.3333333333333333,1.0,-0.001447608399908286,-0.8171925047008882,0.49968047874983096,1.0,False,False,0.9323806776524557,False
halving_after_180d,4,2,0.5,1.0,-0.0008316852056578631,-0.5526377159342417,0.6190212514975766,1.0,False,False,0.9323806776524557,False
halving_after_365d,7,3,0.42857142857142855,1.0,0.009728748504816895,1.0273279433345566,0.34388783781084536,1.0,False,False,0.9323806776524557,False
event_market_structure_90d,1,0,0.0,1.0,0.0028882512765396095,,,1.0,False,False,,False
event_market_structure_30d,1,1,1.0,1.0,-0.0017914698964396967,,,1.0,False,False,,False
event_market_structure_7d,1,1,1.0,1.0,-0.017936013673965558,,,1.0,False,False,,False
event_macro_90d,3,1,0.3333333333333333,1.0,0.0023372897531713645,0.7990556446828241,0.5080745361029914,1.0,False,False,0.9323806776524557,False
event_regulation_7d,1,1,1.0,1.0,-0.007674494674374194,,,1.0,False,False,,False
event_regulation_30d,1,1,1.0,1.0,-0.001118325445151138,,,1.0,False,False,,False
phase_expanding_falling,5,3,0.6,1.0,0.005357165612068203,1.9652846550474972,0.12082049324544639,1.0,False,False,0.9323806776524557,False
