split,train_days,train_span,test_days,test_span,embargo_days
fold 0,730,2011-08-18 .. 2013-08-16,365,2013-11-15 .. 2014-11-14,90
fold 1,1095,2011-08-18 .. 2014-08-16,365,2014-11-15 .. 2015-11-14,90
fold 2,1460,2011-08-18 .. 2015-08-16,365,2015-11-15 .. 2016-11-13,90
fold 3,1825,2011-08-18 .. 2016-08-15,365,2016-11-14 .. 2017-11-13,90
fold 4,2190,2011-08-18 .. 2017-08-15,365,2017-11-14 .. 2018-11-13,90
fold 5,2555,2011-08-18 .. 2018-08-15,365,2018-11-14 .. 2019-11-13,90
fold 6,2920,2011-08-18 .. 2019-08-15,365,2019-11-14 .. 2020-11-12,90
fold 7,3285,2011-08-18 .. 2020-08-14,365,2020-11-13 .. 2021-11-12,90
fold 8,3650,2011-08-18 .. 2021-08-14,365,2021-11-13 .. 2022-11-12,90
fold 9,4015,2011-08-18 .. 2022-08-14,365,2022-11-13 .. 2023-11-12,90
fold 10,4380,2011-08-18 .. 2023-08-14,365,2023-11-13 .. 2024-11-11,90
fold 11,4745,2011-08-18 .. 2024-08-13,365,2024-11-12 .. 2025-11-11,90
fold 12,5110,2011-08-18 .. 2025-08-13,294,2025-11-12 .. 2026-09-01,90
